Model,Accuracy (Untuned),Precision (Untuned),Recall (Untuned),F1-Score (Untuned),AUC-ROC (Untuned),Accuracy (Tuned),Precision (Tuned),Recall (Tuned),F1-Score (Tuned),AUC-ROC (Tuned),Accuracy Δ,Precision Δ,Recall Δ,F1-Score Δ,AUC-ROC Δ
LSTM,0.8556,0.5169,0.6765,0.586,0.9165,0.8711,0.5658,0.6324,0.5972,0.9197,0.0155,0.0489,-0.0441,0.0112,0.0032
Meta-Ensemble,0.8667,0.58,0.4265,0.4915,0.8692,0.8644,0.5745,0.3971,0.4696,0.8655,-0.0023,-0.0055,-0.0294,-0.0219,-0.0037
Random Forest,0.8622,0.5682,0.3676,0.4464,0.8325,0.8622,0.5682,0.3676,0.4464,0.8325,0.0,0.0,0.0,0.0,0.0
XGBoost,0.8533,0.5179,0.4265,0.4677,0.8184,0.8533,0.5179,0.4265,0.4677,0.8184,0.0,0.0,0.0,0.0,0.0
